RecordLocator,RecordId,Name,Description,BookingDate,Reason,APIError
IVFARU,N/A,Passenger Record 222,Record from 9/30/2025, 4:21:02.867 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
OCOUFR,N/A,Passenger Record 223,Record from 9/30/2025, 4:21:03.245 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
LUWBPD,N/A,Passenger Record 226,Record from 9/30/2025, 4:30:19.374 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FAHGWY,N/A,Passenger Record 227,Record from 9/30/2025, 4:30:23.094 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
LUWBPD,N/A,Passenger Record 228,Record from 9/30/2025, 4:30:19.076 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
LUWBPD,N/A,Passenger Record 229,Record from 9/30/2025, 4:30:19.287 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
WFILPZ,N/A,Passenger Record 230,Record from 9/30/2025, 4:32:11.579 PM,2025-09-23T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QSCICH,N/A,Passenger Record 235,Record from 9/26/2025, 11:30:18.533 PM,2025-09-25T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QGCNFF,N/A,Passenger Record 236,Record from 9/26/2025, 11:47:03.672 PM,2025-09-17T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
JQTSFZ,N/A,Passenger Record 238,Record from 9/25/2025, 6:16:04.538 PM,2025-09-23T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QQZGZI,N/A,Passenger Record 241,Record from 9/26/2025, 6:20:11.735 PM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QSCICH,N/A,Passenger Record 242,Record from 9/26/2025, 5:18:09.446 PM,2025-09-25T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DWJBTD,N/A,Passenger Record 243,Record from 9/28/2025, 3:33:05.497 AM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
HQMKJT,N/A,Passenger Record 244,Record from 9/20/2025, 6:15:17.748 PM,2025-09-19T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
OBIDGG,N/A,Passenger Record 248,Record from 10/1/2025, 1:10:08.967 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
MMHYZM,N/A,Passenger Record 253,Record from 9/30/2025, 11:42:47.503 PM,2025-09-30T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
WMXONL,N/A,Passenger Record 255,Record from 9/30/2025, 11:42:10.342 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
WZTZLM,N/A,Passenger Record 264,Record from 9/25/2025, 4:55:10.308 AM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
JHIWXF,N/A,Passenger Record 266,Record from 9/25/2025, 3:40:13.240 AM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
ITZBHT,N/A,Passenger Record 267,Record from 10/1/2025, 6:17:06.718 PM,2025-09-17T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
OCTCRL,N/A,Passenger Record 272,Record from 10/1/2025, 6:30:04.971 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DBGGUN,N/A,Passenger Record 274,Record from 10/1/2025, 6:30:03.266 PM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DFMYPJ,N/A,Passenger Record 285,Record from 9/19/2025, 12:54:10.579 AM,2025-09-16T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
LVIYAX,N/A,Passenger Record 286,Record from 9/30/2025, 2:06:05.702 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FLAWLF,N/A,Passenger Record 287,Record from 9/30/2025, 1:47:02.991 AM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
JICZNI,N/A,Passenger Record 289,Record from 9/30/2025, 2:07:05.681 AM,2025-09-25T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
LGVTVM,N/A,Passenger Record 291,Record from 9/30/2025, 3:26:05.164 AM,2025-09-23T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QANTLT,N/A,Passenger Record 294,Record from 9/30/2025, 1:12:07.202 AM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QANTLT,N/A,Passenger Record 296,Record from 9/30/2025, 1:12:07.162 AM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QFZAFM,N/A,Passenger Record 297,Record from 9/30/2025, 3:18:13.422 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NRCANF,N/A,Passenger Record 306,Record from 9/25/2025, 8:32:04.867 PM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DWJBTD,N/A,Passenger Record 312,Record from 9/27/2025, 5:17:04.130 PM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
OUCLZW,N/A,Passenger Record 313,Record from 9/27/2025, 5:17:05.348 PM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DBJGSL,N/A,Passenger Record 319,Record from 9/23/2025, 5:29:02.469 PM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
MYTBDQ,N/A,Passenger Record 320,Record from 9/23/2025, 5:07:11.067 PM,2025-09-19T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
JELOYA,N/A,Passenger Record 322,Record from 9/23/2025, 7:47:11.549 PM,2025-09-19T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
KGCOSM,N/A,Passenger Record 323,Record from 9/23/2025, 6:26:25.009 PM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
EIMLIY,N/A,Passenger Record 326,Record from 9/27/2025, 5:01:10.920 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
HDMLHD,N/A,Passenger Record 330,Record from 9/29/2025, 11:53:13.403 PM,2025-09-28T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
LZZFXN,N/A,Passenger Record 331,Record from 9/29/2025, 11:38:02.991 PM,2025-09-27T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
WEIVEY,N/A,Passenger Record 336,Record from 9/29/2025, 9:53:48.933 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DVPAOV,N/A,Passenger Record 338,Record from 10/1/2025, 8:40:08.846 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DVPAOV,N/A,Passenger Record 339,Record from 10/1/2025, 8:40:09.105 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DVPAOV,N/A,Passenger Record 340,Record from 10/1/2025, 8:40:08.542 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
WBLNUI,N/A,Passenger Record 341,Record from 10/1/2025, 8:17:06.811 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
OKPPZL,N/A,Passenger Record 342,Record from 10/1/2025, 6:04:08.941 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
CGHOUK,N/A,Passenger Record 343,Record from 10/1/2025, 6:38:05.825 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
OTYIQU,N/A,Passenger Record 347,Record from 10/1/2025, 7:55:03.492 AM,2025-09-30T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NHORDY,N/A,Passenger Record 348,Record from 10/1/2025, 6:38:04.888 AM,2025-09-30T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
CGHOUK,N/A,Passenger Record 349,Record from 10/1/2025, 6:38:05.663 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NAJNNX,N/A,Passenger Record 350,Record from 10/1/2025, 5:34:04.937 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NHORDY,N/A,Passenger Record 351,Record from 10/1/2025, 6:38:04.779 AM,2025-09-30T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NAJNNX,N/A,Passenger Record 356,Record from 10/1/2025, 5:34:04.084 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
ITDLRB,N/A,Passenger Record 361,Record from 10/1/2025, 6:47:06.087 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
AWJYYU,N/A,Passenger Record 363,Record from 10/1/2025, 5:09:08.103 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DVPAOV,N/A,Passenger Record 365,Record from 9/30/2025, 8:09:04.939 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NZZAYI,N/A,Passenger Record 366,Record from 9/30/2025, 8:23:04.305 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FOIXRL,N/A,Passenger Record 374,Record from 9/30/2025, 4:58:03.205 AM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
QIWRJT,N/A,Passenger Record 376,Record from 9/27/2025, 2:06:03.302 AM,2025-09-17T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
HQMKJT,N/A,Passenger Record 381,Record from 9/21/2025, 4:27:07.539 AM,2025-09-19T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
