PartnerRefCD,NoOfPoints,CompanyMileagePlanNumber,TransactionDate,LastName
USTVCQ0272118521040,277,946222104,2025-09-26,Outrigger Hotels and Resorts:  Exec Office
JTZYAA0272118089219,129,847449256,2025-09-22,Enterprise Holdings 1
OCTCRL0272118763890,282,984083811,2025-05-20,Hawaiian Dredging Construction Co Maui
KHOBYI0272118089709,129,847449256,2025-09-22,Enterprise Holdings 1
DBGGUN0272118088150,129,847449256,2019-08-10,Enterprise Holdings 1
MAKVCB0272117723034,546,37083130,2025-09-18,TANANA CHIEFS CONFERENCE I
HJIGQA0272118480448,147,951997653,2025-09-19,Pacific AquaScapes Inc
DSUQDW0272117901795,792,60875172,2025-09-20,ASRC ENERGY SERVICES
FLAWLF0272118313464,175,941628284,2022-04-27,Tori Richard, Ltd.
JICZNI0272118430688,140,402867916,2020-01-16,Kaiser Permanente - Patient - Main Travel Dept 191026830
LGVTVM0272118180449,175,569605794,2025-08-02,Bowers and Kubota Consulting
QANTLT0272118081703,171,998598215,2019-07-31,Epic Ohana Conferencing
QANTLT0272118081704,171,998598215,2019-07-31,Epic Ohana Conferencing
QFZAFM0272118744705,222,134734110,2020-06-02,GOODFELLOW BROS., INC.
NWPRIA0272118514522,193,555906875,2025-09-26,KAISER TRAVEL-NORA
NRCANF0272118324783,157,843913254,2024-04-27,Kazi Restaurants of Hawaii Inc Burger King
DZFYVX0272118095118,79,61824431,2025-09-22,HEALTH COST MANAGEMENT
QMYZMI0272117674711,129,906252001,2025-09-17,Goodsill Anderson Quinn and Stifel
DWJBTD0272118090664,175,861951296,2022-04-27,Associa Hawaii
OUCLZW0272118309959,152,524734151,2024-08-09,Loomis
EGRUPN0272118222312,175,148543835,2025-09-23,EL CAPITAN LODGE
YUMVLA0272118314101,185,524734151,2025-09-24,Loomis
DBJGSL0272118088437,138,941628284,2023-09-19,Tori Richard, Ltd.
CSDJDH0272118125988,171,502730605,2025-09-22,TD Food Group Inc
JELOYA0272117847717,171,448233892,2021-11-28,Dorvin D Leis Co Inc
FFHZNV0272118523720,102,629695290,2025-09-26,Kamoku Contracting LLC
FFHZNV0272118523721,102,629695290,2025-09-26,Kamoku Contracting LLC
EIMLIY0272118506322,115,458771316,2020-07-02,T3 Wireless and Associates Inc
HDMLHD0272118628894,174,421169534,2021-05-09,Matson Terminals
LZZFXN0272118588997,222,535215925,2019-05-24,Central Pacific Bank
FNYNCL0272118509639,70,847856321,2025-09-26,Kaiser Permanente - Patient - Travel II 191068086
WEIVEY0272118465084,264,15111773,2021-09-18,NEW HORIZONS TELECOM INC
QIVNWR0272118089232,138,854523261,2025-09-22,Affiliated Construction
DVPAOV0272118780563,147,935318720,2025-06-21,KS Kaipuwaiola 99
DVPAOV0272118780564,147,935318720,2025-06-21,KS Kaipuwaiola 99
DVPAOV0272118780565,147,935318720,2025-06-21,KS Kaipuwaiola 99
WBLNUI0272118792620,185,843913254,2024-04-02,Kazi Restaurants of Hawaii Inc Burger King
OKPPZL0272118768613,222,536909332,2023-07-05,Hawaii Organ Procurement Organization
CGHOUK0272118754161,138,568649141,2021-01-23,Nordic PCL Construction-Execs
OBVUXE0272118766750,213,810160330,2025-09-29,Hawaii Stevedores Inc Dispatch I
OVHPAV0272118755509,171,545564880,2025-09-29,MCCABE HAMILTON & RENNY
WLGXCO0272118829248,156,716554101,2025-09-26,Social Impact International
OTYIQU0272118906124,138,562068080,2023-06-21,Jason M Laird, MD, LLC
NHORDY0272118864160,102,602431351,2023-07-26,Certified Construction
CGHOUK0272118754160,138,568649141,2021-01-23,Nordic PCL Construction-Execs
NAJNNX0272118769922,147,537811875,2023-10-20,SOH DOE Kauai Complex Area 
NHORDY0272118863791,102,602431351,2023-07-26,Certified Construction
IOSPXO0272118879451,185,794445083,2025-09-29,Maui Electric Company Meter Shop
ICKUPJ0272118906448,138,998598215,2025-09-26,Epic Ohana Conferencing
OBVUXE0272118766746,213,810160330,2025-09-29,Hawaii Stevedores Inc Dispatch I
OBVUXE0272118766751,213,810160330,2025-09-29,Hawaii Stevedores Inc Dispatch I
NMWFAH0272118884441,69,458771316,2025-09-30,T3 Wireless and Associates Inc
SZDDND0272118429774,131,833477875,2025-09-25,Kaiser Permanente - Patient - Travel 6 191082026
FDAPRQ0272118515497,342,810160330,2025-09-26,Hawaii Stevedores Inc Dispatch I
OVHPAV0272118755511,171,545564880,2025-09-29,MCCABE HAMILTON & RENNY
ITDLRB0272118757362,138,568649141,2021-04-19,Nordic PCL Construction-Execs
AWJYYU0272118758481,107,811362241,2019-10-28,Modivcare
NKONXP0272118581158,1836,34000536,2025-09-27,PEAK OILFIELD SERVICE COMP
NZZAYI0272118515037,140,555906875,2025-07-06,KAISER TRAVEL-NORA
MZQMWJ0272118729670,157,474061803,2025-09-28,Smalt and Company, Inc
SXATJF0272118429766,167,402867916,2025-09-25,Kaiser Permanente - Patient - Main Travel Dept 191026830
NZDQUC0272118749148,254,620707382,2025-09-26,Young Brothers
LTFTAI0272118510782,79,134734110,2025-09-26,GOODFELLOW BROS., INC.
FOIXRL0272118736026,236,667818034,2019-09-05,Architects Pacific, Inc. & J3 Construction, Inc.
QIWRJT0272117663919,254,951997653,2022-04-23,Pacific AquaScapes Inc
QJHMJT0272117676964,282,951997653,2025-09-17,Pacific AquaScapes Inc
NORGCM0272118217920,254,951997653,2025-09-17,Pacific AquaScapes Inc
NORGCM0272118217909,254,951997653,2025-09-17,Pacific AquaScapes Inc
HQMKJT0272117860329,180,545831193,2023-04-27,Mas Tec Network Solutions Turf
