PartnerRefCD,NoOfPoints,CompanyMileagePlanNumber,TransactionDate,LastName
HPNKAT0272117854550,313,998598215,2025-09-19,Epic Ohana Conferencing
IMLIWM0272120218303,171,400409741,2025-10-13,Charter Communications
OVXRXJ0272119235360,129,424067954,2025-10-03,SOH DHS MQD Finance Office
LOBOJI0272119498144,464,37083130,2021-07-29,TANANA CHIEFS CONFERENCE I
SOCMPU0272119229889,157,671266046,2025-10-03,Kings Cathedral
CFRHXJ0272120315002,147,847449256,2022-09-07,Enterprise Holdings 1
IFENDD0272121105199,180,773043843,2025-02-10,Outrigger Hotels and Resorts: IT
JUUKIT0272121098264,157,497712574,2023-11-26,BLUE HAWAIIAN HELICOPTERS
HZIUJF0272120569488,175,491156912,2025-10-16,Aloha Sunshine Tours LLC
DPWWXP0272120871679,157,858370262,2025-10-07,Shioi Construction Inc
CDACMF0272120893937,147,824876522,2025-10-20,Architects Hawaii Ltd
DCBGFU0272120532115,147,811362241,2024-02-09,Modivcare
NSSTNX0272120460615,147,538661281,2024-02-12,Diagnostic Laboratories General
IBUTVL0272119130092,134,847449256,2025-10-02,Enterprise Holdings 1
FPXFBG0272119843485,129,774303530,2024-04-19,Foodland 2
GKMWIC0272120201120,172,602252044,2025-05-02,Y Hata and Company, Limited
DVLXQP0272118765073,120,764845690,2025-09-29,Unlimited Construction
FAYEHC0272120885287,268,538216862,2024-04-24,Kikiaola Construction Company
SGCYZZ0272120898686,277,665459023,2020-01-30,UH Hilo University Relations
FUJXJY0272119848467,138,731335640,2025-10-07,Allana Buick & Bers, Inc.
YSIXAK0272120990165,254,509571425,2025-10-21,University Clinical Education & Research Assoc
KXCNJJ0272120564257,138,694700996,2020-02-11,Bank of Hawaii 256
MEXASU0272120449012,143,935572142,2024-08-10,Waltz Engineering Inc
MEXASU0272120449013,143,935572142,2024-08-10,Waltz Engineering Inc
LMJQUB0272119933940,143,794445083,2023-04-07,Maui Electric Company Meter Shop
JYKVAO0272120991810,157,765164444,2025-10-21,Beachside Roofing, LLC
UNUVVB0272120565784,138,694700996,2019-10-18,Bank of Hawaii 256
YUWITM0272121001716,203,948820375,2025-07-16,Group Builders Inc 
LYAICE0272120886200,157,860196702,2025-10-20,Heide & Cook
MZFOYY0272120895309,152,427553475,2022-10-19,Maryl Group Construction Inc 1
JGVSAW0272120883103,147,972845926,2023-03-06,Hawaii Unified Industries 
JGVSAW0272120883104,147,972845926,2023-03-06,Hawaii Unified Industries 
LFDNMY0272120123382,143,522276812,2025-01-30,Financial Benefits Insurance
ASZUAF0272120640659,145,450039424,2025-10-17,SOH DOE OSSS EHCY
UQMRNV0272120557510,147,935654860,2025-10-16,Ohana Pacific Health
LFDNMY0272120123383,143,522276812,2025-01-30,Financial Benefits Insurance
LYAICE0272120886202,157,860196702,2025-10-20,Heide & Cook
LYAICE0272120886207,157,860196702,2025-10-20,Heide & Cook
ODDILQ0272120646526,152,558367342,2025-10-17,FCH Enterprises Inc dba Zippys Restaurants
YUHCXT0272121001075,203,864019225,2023-12-15,Coffman Engineers, Inc.
NYTBAH0272120304888,143,836865890,2025-10-14,Bow Construction Management Svc Inc
ODDILQ0272120646525,152,558367342,2025-10-17,FCH Enterprises Inc dba Zippys Restaurants
GHURAW0272121000854,216,402867916,2025-10-21,Kaiser Permanente - Patient - Main Travel Dept 191026830
JKPVGH0272120645131,236,935654860,2025-10-17,Ohana Pacific Health
HYOIYD0272121109663,180,935318720,2021-11-30,KS Kaipuwaiola 99
DSFXTU0272120641449,180,794445083,2024-12-28,Maui Electric Company Meter Shop
SKPVJT0272120265677,152,707274024,2025-10-01,Clinical Laboratories of Hawaii Admin
YSIXAK0272120990164,254,509571425,2025-10-21,University Clinical Education & Research Assoc
DQDAXA0272119006889,129,873356816,2025-10-01,Hawaii Pacific Health Medical Group
JRQCXG0272120887941,203,437985623,2025-10-20,Plumbers & Fitters Local 675
HYOIYD0272121107499,180,935318720,2021-11-30,KS Kaipuwaiola 99
DQDAXA0272119006890,129,873356816,2025-10-01,Hawaii Pacific Health Medical Group
IICJAR0272119509284,134,943746694,2019-05-17,Title Guaranty of Hawaii
SWPKAG0272120436721,157,401120834,2019-01-14,SOH Department of the Attorney General
YSIXAK0272120990166,254,509571425,2025-10-21,University Clinical Education & Research Assoc
EUSHUF0272120866151,134,454675454,2023-05-22,Kaiser Permanente - Hawaii Permanente Medical Group 191017482
SEAHQF0272120306066,147,836865890,2025-10-14,Bow Construction Management Svc Inc
IHKXID0272120550819,138,847041506,2020-08-28,Jas W Glover Ltd
GOHUIW0272120444765,199,590059072,2019-07-05,Craig's Air Conditioning Inc
MPDTAM0272120375132,286,847041506,2025-10-14,Jas W Glover Ltd
NXTVGT0272119128555,122,502473241,2025-10-02,SOH - DCCA - Consumer Advocacy
HVHJGS0272120310332,171,794445083,2025-10-14,Maui Electric Company Meter Shop
NUGDEB0272119838660,142,758669041,2025-10-09,SOH Dept of Ed Facilities Dev Proj Mgmt Sect
HAJSOS0272117543041,131,454675454,2021-08-12,Kaiser Permanente - Hawaii Permanente Medical Group 191017482
SCMXKU0272120306378,171,794445083,2023-06-06,Maui Electric Company Meter Shop
KEGHGA0272118312025,134,847449256,2025-09-24,Enterprise Holdings 1
LNXNFH0272119503249,129,918817384,2020-08-12,UHM Outreach College
KQXPGW0272120648968,147,506561090,2023-07-16,Creative Designs Hawaii (formerly Billabong Jrs)
FMGBJW0272120459543,231,590059072,2025-10-15,Craig's Air Conditioning Inc
GMYGAS0272121154563,143,774303530,2020-09-08,Foodland 2
IPOZIJ0272120998887,170,798327165,2024-05-02,White Gloves Moving
MYPMHF0272120889040,83,943746694,2021-04-02,Title Guaranty of Hawaii
AQZKKP0272118942426,101,811362241,2025-10-01,Modivcare
AQZKKP0272118942425,101,811362241,2025-10-01,Modivcare
YUMJWJ0272119218477,373,563694655,2024-11-04,SD Construction
JMOJBN0272120652465,166,811362241,2025-06-14,Modivcare
AXATVH0272120528888,121,996281101,2024-03-28,SOH KEALAKEHE ELEMENTARY SCHOOL
AXATVH0272120528889,121,996281101,2024-03-28,SOH KEALAKEHE ELEMENTARY SCHOOL
YSXNGK0272120726322,272,969698100,2025-10-18,Maui Kupono Builders, LLC
IIBNNZ0272120549749,272,698005512,2019-09-11,Tory's Roofing & Waterproofing, Inc.
CSCJRC0272120647777,203,535215925,2020-02-22,Central Pacific Bank
UWIKHI0272119615069,213,875398974,2019-05-08,Hawaii Emergency Physicians Associated
