SourceFile,RecordLocator,RecordId,TicketNumber,BookingDate,ProcessingStage,FailureCategory,FailureReason,TechnicalDetails,CanRetry,RequiredAction,Timestamp,OriginalName,OriginalDescription
September,MWQSTX,N/A,0272117858960,2025-09-19T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 82,"Record from 9/29/2025, 6:17:49.183 AM"
September,NEUQUV,N/A,0272105205269,2025-05-11T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 84,"Record from 9/30/2025, 8:04:02.800 AM"
September,WRMGDP,N/A,1732314089397,2025-06-22T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 89,"Record from 9/30/2025, 4:44:19.531 AM"
September,JLNDWH,N/A,0272118499495,2025-09-26T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 92,"Record from 9/29/2025, 4:52:50.777 AM"
September,DUEEJU,N/A,0272116232155,2025-09-03T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 99,"Record from 9/21/2025, 7:59:27.540 PM"
September,STNWVA,N/A,1252205725323,2025-03-17T11:38:45.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 119,"Record from 10/1/2025, 5:59:27.224 PM"
September,GDASQB,N/A,0272110723232,2025-07-07T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 120,"Record from 10/1/2025, 5:35:17.058 PM"
September,UAXIDF,N/A,0277328698534,2025-08-28T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 121,"Record from 10/1/2025, 6:41:17.400 PM"
September,AWTZGV,N/A,0272118143865,2025-09-23T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 122,"Record from 10/1/2025, 6:39:29.787 PM"
September,OWQOGQ,N/A,0272118623180,2025-09-28T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 123,"Record from 10/1/2025, 6:41:29.169 PM"
September,OJYVNU,N/A,0272115829421,2025-08-29T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 124,"Record from 9/25/2025, 7:36:03.413 AM"
September,MPXJAB,N/A,0277333290082,2025-09-15T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 128,"Record from 9/25/2025, 1:00:39.104 AM"
September,GEAJVE,N/A,0272102566903,2025-04-14T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 129,"Record from 9/22/2025, 12:34:33.454 AM"
September,NVOEXZ,N/A,1732315055722,2025-08-18T14:23:11.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 131,"Record from 9/23/2025, 4:27:53.305 AM"
September,QHFNZP,N/A,0272112220958,2025-07-22T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 132,"Record from 9/22/2025, 12:22:09.753 AM"
