RecordLocator,Name,Description,BookingDate,Reason
"QHFNZP","Passenger Record 132","Record from 9/22/2025, 12:22:09.753 AM","2025-07-22T00:00:00.0000000Z","Non-AFB Customer"
"NOYFHG","Passenger Record 133","Record from 9/22/2025, 4:03:05.524 AM","2025-08-04T00:00:00.0000000Z","Non-AFB Customer"
"JUPVIR","Passenger Record 135","Record from 9/24/2025, 9:53:01.481 PM","2025-09-02T00:00:00.0000000Z","Non-AFB Customer"
"FVGYYD","Passenger Record 136","Record from 9/24/2025, 9:52:59.158 PM","2025-09-24T00:00:00.0000000Z","Non-AFB Customer"
"IJIXNR","Passenger Record 137","Record from 9/24/2025, 9:22:58.800 PM","2025-09-14T00:00:00.0000000Z","Non-AFB Customer"
"IOYZCR","Passenger Record 138","Record from 9/30/2025, 9:29:15.989 PM","2025-04-30T00:00:00.0000000Z","Non-AFB Customer"
"AUOBMK","Passenger Record 139","Record from 9/29/2025, 7:53:47.640 PM","2025-09-17T00:00:00.0000000Z","Non-AFB Customer"
"KQDFXS","Passenger Record 143","Record from 9/30/2025, 1:18:14.509 AM","2025-06-04T00:00:00.0000000Z","Non-AFB Customer"
"JPQERV","Passenger Record 145","Record from 9/21/2025, 4:19:47.431 AM","2025-09-08T11:42:53.0000000Z","Non-AFB Customer"
"KARYEV","Passenger Record 146","Record from 9/20/2025, 4:26:15.664 AM","2025-09-10T23:39:13.0000000Z","Non-AFB Customer"
"ARGKXR","Passenger Record 147","Record from 10/1/2025, 2:50:01.932 AM","2025-07-02T00:00:00.0000000Z","Non-AFB Customer"
"EZKOKP","Passenger Record 148","Record from 10/1/2025, 3:50:27.732 AM","2025-08-23T00:00:00.0000000Z","Non-AFB Customer"
"QGIYBK","Passenger Record 151","Record from 10/1/2025, 4:16:47.363 AM","2025-09-25T00:00:00.0000000Z","Non-AFB Customer"
"WPDTFN","Passenger Record 157","Record from 10/1/2025, 2:55:20.172 AM","2025-07-11T09:47:08.0000000Z","Non-AFB Customer"
"HIFARW","Passenger Record 159","Record from 10/1/2025, 3:25:48.564 AM","2025-08-23T00:00:00.0000000Z","Non-AFB Customer"
"QSDCID","Passenger Record 162","Record from 9/25/2025, 4:29:54.277 AM","2025-09-19T23:12:33.0000000Z","Non-AFB Customer"
